curva,sentido,Z,kappa,omega2,l1
1,1,36.0785031108645,0.36330549141595747,NaN,0.008332437141039276
1,1,36.149202333482044,0.36256484444940107,NaN,0.00842210029674928
1,1,36.219901624375986,0.36182744061436345,NaN,0.008511591586885373
1,1,36.29060098298983,0.3610932584508211,NaN,0.008600911684649798
1,1,36.36130040877285,0.3603622766883937,NaN,0.00869006125907057
1,1,36.43199990118,0.3596344742442495,NaN,0.008779040975034874
1,1,36.50269945967186,0.35890983022103656,NaN,0.008867851493325044
1,1,36.57339908371457,0.35818832390484173,NaN,0.008956493470655302
1,1,36.64409877277974,0.35746993476317734,NaN,0.009044967559704326
1,1,36.7147985263444,0.3567546424429949,NaN,0.009133274409151404
1,1,36.78549834389092,0.3560424267687199,NaN,0.009221414663708932
1,1,36.85619822490696,0.35533326774032137,NaN,0.009309388964157533
1,1,36.92689816888538,0.3546271455313977,NaN,0.009397197947378172
1,1,36.9975981753242,0.35392404048729437,NaN,0.009484842246385489
1,1,37.06829824372652,0.3532239331232414,NaN,0.009572322490361468
1,1,37.13899837360046,0.3525268041225171,NaN,0.009659639304683637
1,1,37.20969856445911,0.351832634334636,NaN,0.009746793310963564
1,1,37.28039881582046,0.35114140477356115,NaN,0.009833785127070685
1,1,37.35109912720734,0.35045309661593527,NaN,0.009920615367170066
1,1,37.42179949814736,0.3497676911993388,NaN,0.010007284641749298
1,1,37.49249992817285,0.3490851700205682,NaN,0.010093793557652178
1,1,37.563200416820806,0.34840551473394105,NaN,0.010180142718102234
1,1,37.63390096363285,0.34772870714961296,NaN,0.010266332722741897
1,1,37.704601568155134,0.34705472923192726,NaN,0.010352364167654782
1,1,37.775302229938326,0.3463835630977774,NaN,0.010438237645398363
1,1,37.846002948537524,0.34571519101499504,NaN,0.010523953745032275
1,1,37.916703723512235,0.345049595400755,NaN,0.010609513052145914
1,1,37.98740455442629,0.34438675882000536,NaN,0.010694916148887373
1,1,38.05810544084782,0.34372666398391144,NaN,0.010780163613991756
1,1,38.12880638234917,0.3430692937483232,NaN,0.010865256022808384
1,1,38.19950737850689,0.34241463111226217,NaN,0.01095019394733003
1,1,38.27020842890166,0.3417626592164239,NaN,0.011034977956216177
1,1,38.34090953311825,0.34111336134170545,NaN,0.011119608614823487
1,1,38.411610690745455,0.34046672090774266,NaN,0.011204086485230663
1,1,38.48231190137607,0.33982272147147363,NaN,0.011288412126264913
1,1,38.55301316460684,0.33918134672571615,NaN,0.011372586093529424
1,1,38.62371448003839,0.3385425804977632,NaN,0.011456608939426974
1,1,38.6944158472752,0.3379064067479963,NaN,0.011540481213186668
1,1,38.765117265925575,0.33727280956851685,NaN,0.011624203460888063
1,1,38.835818735601556,0.33664177318179,NaN,0.01170777622548863
1,1,38.90652025591892,0.3360132819393153,NaN,0.011791200046845696
1,1,38.97722182649711,0.3353873203203007,NaN,0.01187447546174153
1,1,39.047923446959196,0.33476387293036175,NaN,0.011957603003908912
1,1,39.118625116931845,0.3341429245002344,NaN,0.012040583204055016
1,1,39.189326836045275,0.3335244598845036,NaN,0.012123416589882446
1,1,39.26002860393321,0.3329084640603461,NaN,0.012206103686116215
1,1,39.330730420232825,0.33229492212629025,NaN,0.012288645014524369
1,1,39.40143228458474,0.3316838193009894,NaN,0.012371041093945004
1,1,39.472134196632965,0.3310751409220136,NaN,0.012453292440300606
