run,index,kappa,closure,neutral_error,transverse_modulus,BK_IVP_mu_difference
lower-n80,37,1.4649725703567478,2.3659768588757402e-11,2.0392842969840785e-10,0.2832744518124502,1.653954750935327e-10
lower-n80,38,1.5207444124944176,1.7459783618889446e-11,1.5597012570367497e-10,0.28342795940198223,1.1217449191747164e-10
lower-n80,39,1.5766772793477553,1.2566572782368723e-11,1.1588763282333048e-10,0.28400147322413544,7.433287319003057e-11
lower-n80,40,1.6327096304195559,8.861272826621303e-12,8.394507311493271e-11,0.284946470917266,4.845546186516003e-11
lower-n80,41,1.688793587915627,6.131040120038733e-12,5.935474334251012e-11,0.28622251423144934,3.140065985007823e-11
lower-n80,42,1.7448925365837527,4.152997390427515e-12,4.079758753050555e-11,0.28779601772891594,2.0585533277994728e-11
lower-n80,43,1.8009789985390752,2.7338686869882167e-12,2.6991742174686806e-11,0.289639150481427,1.4046208640650093e-11
lower-n80,44,1.857032813105528,1.7208456881689926e-12,1.6826318116613947e-11,0.29172888110893563,1.0305534203780553e-11
lower-n80,45,1.913039614409768,9.930806177393947e-13,9.369727216324009e-12,0.2940461624194154,8.309020138597134e-12
lower-n80,46,1.9689895798992696,4.710815071362617e-13,3.8056224838101116e-12,0.2965752442256718,7.559841641580078e-12
lower-n80,47,2.0248764147978475,1.155742168634788e-13,3.6992631180510216e-13,0.29930309949956385,7.523093259464986e-12
lower-n80,48,2.08069653611004,2.8177460364986473e-13,3.4656721936698887e-12,0.302218948239165,7.840950111415168e-12
lower-n80,49,2.1364484220111137,4.028999356364693e-13,5.828226790072222e-12,0.30531386412460704,8.37330205172293e-12
lower-n80,50,2.192132096348535,5.582062589937209e-13,7.682077196591308e-12,0.30858045047429283,9.0463192492507e-12
lower-n80,51,2.247748722381243,6.757233661502937e-13,9.024780922572972e-12,0.31201257372722213,9.620748642191757e-12
lower-n80,52,2.3033002841699424,7.655959199937001e-13,1.0041301123919766e-11,0.3156051444065995,1.0178080600553585e-11
lower-n80,53,2.3587893379037363,8.310852006587766e-13,1.0841327835464654e-11,0.31935393712761956,1.0695888619238758e-11
lower-n80,54,2.414218818793354,8.826273045769994e-13,1.130717741659737e-11,0.32325544263774364,1.0999201549566351e-11
lower-n80,55,2.4695918919693,9.212908214095705e-13,1.1620260309541663e-11,0.3273067461036855,1.1252554443785812e-11
lower-n80,56,2.524911838135898,9.487272079056197e-13,1.1836975843948494e-11,0.3315054268948999,1.1432188529170162e-11
lower-n80,57,2.5801819666118555,9.676009993242474e-13,1.1864953464169048e-11,0.3358494759734003,1.1469714067402492e-11
lower-n80,58,2.635405549901824,9.768019726408284e-13,1.195066268167011e-11,0.3403372277103126,1.1570522318038456e-11
lower-n80,59,2.690585775154847,9.81992265280951e-13,1.1815881606480616e-11,0.3449673035322602,1.1498579866042746e-11
lower-n80,60,2.74572570883081,9.779121956654535e-13,1.1669332167230095e-11,0.3497385652747329,1.1382006448457105e-11
lower-n80,61,2.8008282716628528,9.705708459151197e-13,1.1433520796799712e-11,0.3546500765085005,1.1193268534270828e-11
lower-n80,62,2.8558962216117156,9.610784390545746e-13,1.127364868125369e-11,0.3597010704184748,1.1096012997313665e-11
lower-n80,63,2.9109321429896475,9.450773497121645e-13,1.089150991617771e-11,0.3648909230724022,1.0752732038099566e-11
lower-n80,64,2.9659384403127915,9.275774592865105e-13,1.0600409439120995e-11,0.3702191311233555,1.0498935054670255e-11
lower-n80,65,3.020917335742729,9.086065233532281e-13,1.0314860077187404e-11,0.375685293162446,1.0263123684239872e-11
lower-n80,66,3.075870869216742,8.850836730189826e-13,9.953815549579303e-12,0.38128909407401407,9.925615884753825e-12
lower-n80,67,3.1308009005554425,8.606587664772292e-13,9.556799795973347e-12,0.3870302918608208,9.563461134121098e-12
lower-n80,68,3.1857091129861055,8.337081025544535e-13,9.21618337201835e-12,0.3929087064984652,9.251710508806354e-12
lower-n80,69,3.2405970176385166,8.080619506856124e-13,8.921752225887758e-12,0.3989242104544117,8.976264176396853e-12
lower-n80,70,3.2954659586638964,7.769618282083002e-13,8.459677403038768e-12,0.4050767205694222,8.54449844212013e-12
lower-n80,71,3.350317118701548,7.471245844214991e-13,8.08908495741889e-12,0.41136619105010563,8.186673561283442e-12
lower-n80,72,3.4051515244763246,7.160660953076103e-13,7.672085189369682e-12,0.41779260736485946,7.80397968469515e-12
lower-n80,73,3.4599700523559953,6.857014955841123e-13,7.339906460401835e-12,0.42435598086849374,7.467360063628803e-12
lower-n80,74,3.5147734337335796,6.499523141911823e-13,6.870282120985394e-12,0.431056344011587,6.991296430669536e-12
lower-n80,75,3.5695622601277206,6.223355164536315e-13,6.582290268397628e-12,0.4378937460125107,6.743050562363351e-12
lower-n80,76,3.62433698791566,5.875577802072485e-13,6.16973139244692e-12,0.4448682488924364,6.327938173456005e-12
lower-n80,77,3.6790979426296575,5.540012892879531e-13,5.78004311080349e-12,0.45197992378600255,5.949685188966214e-12
lower-n80,78,3.733845322759621,5.243305789548458e-13,5.328626428990901e-12,0.4592288474578878,5.496936239524075e-12
lower-n80,79,3.788579203013109,4.916622664552506e-13,4.900746475300366e-12,0.46661509896328174,5.065725616759664e-12
lower-n80,80,3.8432995369891922,4.622691118782996e-13,4.569900013962069e-12,0.4741387564004326,4.7339909770016675e-12
lower-n80,81,3.8980061592254476,4.3395842475035806e-13,4.210631843193369e-12,0.48179989371052956,4.373612583208342e-12
lower-n80,82,3.9526987865777707,4.108657858381548e-13,4.04165589884542e-12,0.4895985774850803,4.206412995699793e-12
lower-n80,83,4.0073770188910895,3.8261060986144457e-13,3.6848302187308946e-12,0.4975348637460108,3.8478109587458675e-12
lower-n80,84,4.062040338915359,3.5504932327512506e-13,3.3169023083701177e-12,0.5056087946650539,3.4675595728117514e-12
lower-n80,85,4.11668811141563,3.302358386747528e-13,2.97761815204467e-12,0.5138203951932669,3.110733892697226e-12
lower-n80,86,4.171319581417236,3.002598170098736e-13,2.6281199438926706e-12,0.5221696695696959,2.7645663536191023e-12
lower-n80,87,4.225933871517332,2.765565554341265e-13,2.319255898441952e-12,0.5306565976791913,2.4356072714226684e-12
lower-n80,88,4.280529978181634,2.5482393972708905e-13,1.998623488930207e-12,0.5392811312282716,2.1103119252074976e-12
lower-n80,89,4.335106766930141,2.3178681196611706e-13,1.7350565428841946e-12,0.5480431897042506,1.8465229345565604e-12
lower-n80,90,4.389662966297213,2.114697306154767e-13,1.4908074774666602e-12,0.5569426560803636,1.5771828287824974e-12
lower-n80,91,4.444197160429215,1.8962609260597674e-13,1.2261303083960229e-12,0.5659793722238683,1.307953745310897e-12
lower-n80,92,4.498707780155989,1.716404796070492e-13,9.965361869035405e-13,0.575153133957727,1.0752509993494641e-12
lower-n80,93,4.553193092339877,1.5415446696920299e-13,7.891465259035613e-13,0.5844636857186364,9.429124148141454e-13
lower-n80,94,4.607651187266462,1.3616885397027545e-13,6.132871988029365e-13,0.5939107147428406,8.267830864383541e-13
